isin;name;field;reason;detail;euronext_link;amf_geco_search
BE0974320526;UMICORE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974320526-XBRU;https://geco.amf-france.org
IT0005239360;UNICREDIT;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0005239360-MTAA;https://geco.amf-france.org
IT0004810054;UNIPOL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0004810054-MTAA;https://geco.amf-france.org
BMG0112X1056;AEGON;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BMG0112X1056-XAMS;https://geco.amf-france.org
CH1216478797;DSM FIRMENICH AG;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/CH1216478797-XAMS;https://geco.amf-france.org
GB00BP6MXD84;SHELL PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/GB00BP6MXD84-XAMS;https://geco.amf-france.org
NO0010345853;AKER BP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0010345853-XOSL;https://geco.amf-france.org
JE00BRX98089;CVC CAPITAL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/JE00BRX98089-XAMS;https://geco.amf-france.org
NO0010161896;DNB BANK ASA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0010161896-XOSL;https://geco.amf-france.org
NO0010096985;EQUINOR;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0010096985-XOSL;https://geco.amf-france.org
NO0013536151;KONGSBERG GRUPPEN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0013536151-XOSL;https://geco.amf-france.org
NO0003054108;MOWI;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0003054108-XOSL;https://geco.amf-france.org
NO0005052605;NORSK HYDRO;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0005052605-XOSL;https://geco.amf-france.org
GB00B2B0DG97;RELX;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/GB00B2B0DG97-XAMS;https://geco.amf-france.org
NO0010063308;TELENOR;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NO0010063308-XOSL;https://geco.amf-france.org
NL0000888691;AMG Critical Materials N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000888691-XAMS;https://geco.amf-france.org
